ID_Venda,Produto,Quantidade,Preco_Unitario,Data_Venda,Regiao
1,A,4,2.51,2023-12-31,Norte
2,C,19,6.18,2023-09-11,Sul
3,C,2,13.0,2023-09-28,Leste
4,C,23,12.33,2023-10-06,Norte
5,C,8,7.12,2023-05-08,Leste
6,A,24,7.83,2023-07-08,Sul
7,D,16,1.2,2023-05-14,Leste
8,D,22,7.54,2023-11-06,Oeste
9,D,7,10.09,2023-05-19,Leste
10,D,7,3.99,2023-04-26,Sul
11,A,5,5.31,2023-07-26,Sul
12,A,2,11.86,2023-05-25,Oeste
13,A,11,4.57,2023-10-12,Oeste
14,C,8,13.54,2023-11-02,Leste
15,B,13,9.34,2023-06-08,Sul
16,A,13,6.5,2023-12-11,Norte
17,D,24,9.69,2023-05-16,Sul
18,C,19,7.88,2023-09-24,Leste
19,A,5,12.13,2023-11-03,Sul
20,A,15,6.4,2023-08-16,Oeste
21,C,24,6.67,2023-02-27,Leste
22,A,12,10.41,2023-03-24,Oeste
23,C,15,10.02,2023-07-22,Sul
24,A,9,2.53,2023-03-04,Leste
25,D,8,12.34,2023-03-25,Leste
26,A,9,8.63,2023-10-31,Oeste
27,C,16,2.02,2023-10-07,Sul
28,B,15,5.57,2023-02-16,Oeste
29,A,14,11.86,2023-10-22,Leste
30,D,21,14.31,2023-05-07,Leste
31,C,24,6.12,2023-08-27,Norte
32,C,19,10.32,2023-06-16,Norte
33,B,1,3.99,2023-08-25,Norte
34,B,7,7.59,2023-11-07,Oeste
35,B,12,9.05,2023-11-20,Norte
36,A,23,8.34,2023-01-30,Leste
37,C,1,14.73,2023-04-08,Sul
38,B,24,10.31,2023-09-17,Sul
39,A,23,5.5,2023-08-29,Oeste
40,A,14,1.77,2023-08-20,Leste
41,D,15,14.61,2023-04-01,Oeste
42,D,24,11.36,2023-05-01,Sul
43,A,20,3.21,2023-05-31,Sul
44,A,24,3.78,2023-08-01,Leste
45,B,3,10.84,2023-03-17,Oeste
46,C,4,11.39,2023-01-31,Sul
47,D,3,2.15,2023-12-17,Sul
48,D,16,13.58,2023-03-09,Sul
49,B,1,3.91,2023-06-02,Norte
50,A,24,7.0,2023-05-11,Leste
51,A,10,3.61,2023-12-23,Leste
52,A,3,3.89,2023-12-11,Leste
53,A,23,14.44,2023-04-20,Norte
54,D,8,1.99,2023-10-09,Leste
55,C,8,2.59,2023-06-27,Norte
56,A,6,14.25,2023-09-27,Norte
57,A,14,14.43,2023-10-07,Oeste
58,A,8,11.34,2023-10-02,Oeste
59,D,14,10.75,2023-09-16,Norte
60,D,1,14.84,2023-03-08,Oeste
61,B,18,14.24,2023-11-25,Sul
62,C,17,9.83,2023-05-21,Leste
63,A,5,3.53,2023-12-04,Sul
64,C,1,14.34,2023-03-23,Sul
65,A,3,9.57,2023-12-25,Leste
66,D,15,2.52,2023-02-22,Leste
67,D,14,8.12,2023-08-28,Oeste
68,A,20,13.05,2023-06-05,Oeste
69,C,3,14.29,2023-08-07,Oeste
70,A,10,10.36,2023-10-23,Sul
71,B,13,7.48,2023-05-14,Oeste
72,B,8,9.27,2023-09-05,Sul
